delta_d,delta_p,delta_h,Solub,name
14.5,2.9,4.6,,Diethyl Ether
14.7,12.3,22.3,,Methanol
14.9,4.5,8.2,,Iso-Propyl Acetate
15.3,0,0,,Heptane
15.3,18,6.1,,Acetonitrile
15.5,10.4,7,,Acetone
15.8,8.8,19.4,,Ethanol
16,5.7,15.8,,1-Butanol
16,6.8,17.4,,1-Propanol
17,7.3,7.1,,Methylene Chloride
17,11,26,,Ethylene Glycol
17.8,3.1,5.7,,Chloroform
18,1.4,2,,Toluene
18.1,6.6,9.3,,"1,3-Dioxolane"
18.4,6.3,13.7,,Benzyl Alcohol
18.4,16.4,10.2,,Dimethyl Sulfoxide(DMSO)
15.75,5.1,5.85,,DCM + Diethylether (1:1)
16.65,0.7,1,,Toluene + Heptane  (1:1)
16.55,14.35,16.25,,DMSO + Methanol (1:1)
16.95,13.4,8.6,,DMSO + Acetone (1:1)
18.2,8.9,6.1,,DMSO +  Toluene (1:1)
16.85,17.2,8.15,,DMSO + Acetonitrile (1:1)
16.9,4.95,11.55,,1-Propanol  +  Chloroform (1:1)
15.55,13.4,12.75,,Acetonitrile + Ethanol (1:1)
17.58,11.15,7.35,,DMSO + Toluene + Acetone (1:0.5:0.5)
